Source;Target;Type;Weight;book;Gender
Cellador;Othell-Yarwyck;undirected;8;5;M
Cersei-Lannister;DAENERYS;undirected;3;5;F
Cersei-Lannister;Doran-Martell;undirected;3;5;F
Cersei-Lannister;Dunsen;undirected;3;5;F
Cersei-Lannister;Gregor-Clegane;undirected;4;5;F
Cersei-Lannister;High-Sparrow;undirected;11;5;F
Cersei-Lannister;Ilyn-Payne;undirected;4;5;F
Cersei-Lannister;Jaime-Lannister;undirected;13;5;F
Cersei-Lannister;Joffrey-Baratheon;undirected;3;5;F
Cersei-Lannister;Kevan-Lannister;undirected;10;5;F
Cersei-Lannister;Lancel-Lannister;undirected;6;5;F
Cersei-Lannister;Mace-Tyrell;undirected;3;5;F
Cersei-Lannister;Margaery-Tyrell;undirected;6;5;F
Cersei-Lannister;Meryn-Trant;undirected;3;5;F
Cersei-Lannister;Moelle;undirected;4;5;F
Cersei-Lannister;Myrcella-Baratheon;undirected;4;5;F
Cersei-Lannister;Osney-Kettleblack;undirected;3;5;F
Cersei-Lannister;Qyburn;undirected;3;5;F
Cersei-Lannister;Rafford;undirected;3;5;F
Cersei-Lannister;Rhaegar-Targaryen;undirected;3;5;F
Cersei-Lannister;ROBERT;undirected;7;5;F
Cersei-Lannister;Robert-Strong;undirected;4;5;F
Cersei-Lannister;Scolera;undirected;5;5;F
Cersei-Lannister;Stannis-Baratheon;undirected;5;5;F
Cersei-Lannister;Tommen-Baratheon;undirected;13;5;F
Cersei-Lannister;Tyrion-Lannister;undirected;5;5;F
Cersei-Lannister;Tywin-Lannister;undirected;3;5;F
Cersei-Lannister;Unella;undirected;10;5;F
Clayton-Suggs;Godry-Farring;undirected;5;5;M
Clayton-Suggs;Stannis-Baratheon;undirected;6;5;M
Cleon;DAENERYS;undirected;9;5;M
Cleon;Quentyn-Martell;undirected;3;5;M
Cletus-Yronwood;DAENERYS;undirected;3;5;M
Cletus-Yronwood;Gerris-Drinkwater;undirected;5;5;M
Cletus-Yronwood;Kedry;undirected;3;5;M
Cletus-Yronwood;Quentyn-Martell;undirected;7;5;M
Clydas;JON;undirected;20;5;F
Clydas;Mully;undirected;4;5;F
Clydas;Stannis-Baratheon;undirected;3;5;F
Coldhands;Hodor;undirected;4;5;M
Coldhands;Meera-Reed;undirected;3;5;M
Corliss-Penny;Stannis-Baratheon;undirected;3;5;M
Cotter-Pyke;Denys-Mallister;undirected;4;5;M
Cotter-Pyke;JON;undirected;11;5;M
Cotter-Pyke;Selyse-Florent;undirected;3;5;M
Cromm;Grimtongue;undirected;4;5;M
Cromm;Hagen;undirected;4;5;M
Daario-Naharis;DAENERYS;undirected;50;5;M
Daario-Naharis;Grey-Worm;undirected;6;5;M
Daario-Naharis;Groleo;undirected;4;5;M
Daario-Naharis;Hero;undirected;7;5;M
Daario-Naharis;Hizdahr-zo-Loraq;undirected;14;5;M
Daario-Naharis;Irri;undirected;7;5;M
Daario-Naharis;Jhiqui;undirected;5;5;M
Daario-Naharis;Jhogo;undirected;9;5;M
Daario-Naharis;Missandei;undirected;4;5;M
Daario-Naharis;Quentyn-Martell;undirected;5;5;M
Daario-Naharis;Rakharo;undirected;4;5;M
Daario-Naharis;Skahaz-mo-Kandaq;undirected;9;5;M
DAENERYS;Daeron-II-Targaryen;undirected;3;5;F
DAENERYS;Doran-Martell;undirected;3;5;F
DAENERYS;DROGO;undirected;7;5;F
DAENERYS;Eroeh;undirected;3;5;F
DAENERYS;Ezzara;undirected;3;5;F
DAENERYS;Galazza-Galare;undirected;19;5;F
DAENERYS;Gerris-Drinkwater;undirected;15;5;F
DAENERYS;Ghael;undirected;5;5;F
DAENERYS;Grey-Worm;undirected;11;5;F
DAENERYS;Groleo;undirected;4;5;F
DAENERYS;Hero;undirected;5;5;F
DAENERYS;Hizdahr-zo-Loraq;undirected;96;5;F
DAENERYS;Illyrio-Mopatis;undirected;12;5;F
DAENERYS;Irri;undirected;25;5;F
DAENERYS;Jhiqui;undirected;15;5;F
DAENERYS;Jhogo;undirected;6;5;F
DAENERYS;Jon-Connington;undirected;6;5;F
DAENERYS;JORAH;undirected;4;5;F
DAENERYS;Lysono-Maar;undirected;3;5;F
DAENERYS;Mace-Tyrell;undirected;3;5;F
DAENERYS;Marselen;undirected;3;5;F
DAENERYS;Meris;undirected;6;5;F
DAENERYS;Mezzara;undirected;4;5;F
DAENERYS;Miklaz;undirected;3;5;F
DAENERYS;Missandei;undirected;37;5;F
DAENERYS;Moqorro;undirected;3;5;F
DAENERYS;Penny;undirected;4;5;F
DAENERYS;Qavo-Nogarys;undirected;5;5;F
DAENERYS;Qezza;undirected;6;5;F
DAENERYS;Quaithe;undirected;6;5;F
DAENERYS;Quentyn-Martell;undirected;58;5;F
DAENERYS;Rakharo;undirected;7;5;F
DAENERYS;Reznak-mo-Reznak;undirected;19;5;F
DAENERYS;Rhaegar-Targaryen;undirected;10;5;F
DAENERYS;ROBERT;undirected;3;5;F
DAENERYS;Skahaz-mo-Kandaq;undirected;33;5;F
DAENERYS;Spotted-Cat;undirected;3;5;F
DAENERYS;Symon-Stripeback;undirected;4;5;F
DAENERYS;Tattered-Prince;undirected;4;5;F
DAENERYS;Tyrion-Lannister;undirected;17;5;F
DAENERYS;VARYS;undirected;3;5;F
DAENERYS;Victarion-Greyjoy;undirected;7;5;F
DAENERYS;Viserys-Targaryen;undirected;7;5;F
DAENERYS;Xaro-Xhoan-Daxos;undirected;16;5;F
DAENERYS;Yurkhaz-zo-Yunzak;undirected;4;5;F
Dalla;Gilly;undirected;4;5;F
Dalla;Mance-Rayder;undirected;5;5;F
Dalla;Melisandre;undirected;3;5;F
Dalla;Stannis-Baratheon;undirected;5;5;F
Dalla;Val;undirected;5;5;F
Damon-Dance-for-Me;Grunt;undirected;3;5;M
Damon-Dance-for-Me;Ramsay-Snow;undirected;7;5;M
Damon-Dance-for-Me;Skinner;undirected;7;5;M
Damon-Dance-for-Me;Sour-Alyn;undirected;4;5;M
Damon-Dance-for-Me;Theon-Greyjoy;undirected;5;5;M
Davos-Seaworth;NED;undirected;4;5;M
Davos-Seaworth;Garth-(Wolfs-Den);undirected;4;5;M
Davos-Seaworth;Godric-Borrell;undirected;9;5;M
Davos-Seaworth;Leona-Woolfield;undirected;3;5;M
Davos-Seaworth;Marlon-Manderly;undirected;5;5;M
Davos-Seaworth;Melisandre;undirected;4;5;M
Davos-Seaworth;ROBB;undirected;3;5;M
Davos-Seaworth;Robett-Glover;undirected;4;5;M
Davos-Seaworth;Salladhor-Saan;undirected;11;5;M
Davos-Seaworth;Stannis-Baratheon;undirected;21;5;M
Davos-Seaworth;Sybell-Spicer;undirected;3;5;M
Davos-Seaworth;Wyman-Manderly;undirected;32;5;M
Denys-Mallister;JON;undirected;4;5;M
Denzo-Dhan;Meris;undirected;3;5;M
Devan-Seaworth;JON;undirected;5;5;M
Devan-Seaworth;Melisandre;undirected;4;5;M
Devan-Seaworth;Stannis-Baratheon;undirected;14;5;M
Dick-Straw;Hugh-Hungerford;undirected;3;5;M
Dick-Straw;Tattered-Prince;undirected;4;5;M
Donal-Noye;JON;undirected;7;5;M
Donal-Noye;Qhorin-Halfhand;undirected;3;5;M
Doran-Martell;Ellaria-Sand;undirected;3;5;M
Doran-Martell;Gregor-Clegane;undirected;4;5;M
Doran-Martell;Myrcella-Baratheon;undirected;5;5;M
Doran-Martell;Nymeria-Sand;undirected;3;5;M
Doran-Martell;Obara-Sand;undirected;4;5;M
Doran-Martell;Oberyn-Martell;undirected;5;5;M
Doran-Martell;Quentyn-Martell;undirected;4;5;M
Doran-Martell;ROBERT;undirected;3;5;M
Doran-Martell;Viserys-Targaryen;undirected;3;5;M
Draqaz;Miklaz;undirected;3;5;M
DROGO;Viserys-Targaryen;undirected;4;5;M
Dryn;Tormund;undirected;3;5;M
Dunsen;Gregor-Clegane;undirected;3;5;M
Dunsen;Ilyn-Payne;undirected;3;5;M
Dunsen;Meryn-Trant;undirected;3;5;M
Dunsen;Rafford;undirected;3;5;M
NED;JON;undirected;10;5;M
NED;Ramsay-Snow;undirected;4;5;M
NED;ROBB;undirected;6;5;M
NED;ROBERT;undirected;7;5;M
NED;Roose-Bolton;undirected;5;5;M
NED;Sansa-Stark;undirected;3;5;M
NED;Stannis-Baratheon;undirected;6;5;M
NED;Theon-Greyjoy;undirected;9;5;M
NED;Willam-Dustin;undirected;4;5;M
NED;Wyman-Manderly;undirected;4;5;M
Eddison-Tollett;Emmett;undirected;8;5;M
Eddison-Tollett;Gilly;undirected;3;5;M
Eddison-Tollett;Hobb;undirected;4;5;M
Eddison-Tollett;Janos-Slynt;undirected;4;5;M
Eddison-Tollett;JON;undirected;25;5;M
Eddison-Tollett;Mully;undirected;3;5;M
Eddison-Tollett;Satin;undirected;3;5;M
Elia-Martell;Rhaegar-Targaryen;undirected;6;5;
Emmett;Hareth-(Moles-Town);undirected;3;5;M
Emmett;Hop-Robin;undirected;4;5;M
Emmett;Janos-Slynt;undirected;4;5;M
Emmett;JON;undirected;15;5;M
Emrick;Hareth-(Moles-Town);undirected;3;5;M
Emrick;Satin;undirected;3;5;M
Euron-Greyjoy;Victarion-Greyjoy;undirected;7;5;M
Franklyn-Flowers;Jon-Connington;undirected;4;5;M
Frenya;Holly;undirected;6;5;F
Frenya;Theon-Greyjoy;undirected;3;5;F
Fulk;JON;undirected;4;5;M
Fulk;Mully;undirected;5;5;M
Galazza-Galare;Grazhar;undirected;4;5;F
Galazza-Galare;Hizdahr-zo-Loraq;undirected;12;5;F
Galazza-Galare;Reznak-mo-Reznak;undirected;5;5;F
Galazza-Galare;Skahaz-mo-Kandaq;undirected;12;5;F
Garth-(Wolfs-Den);Sybell-Spicer;undirected;3;5;M
Garth-Greyfeather;Hairy-Hal;undirected;4;5;M
Garth-Greyfeather;Jack-Bulwer;undirected;4;5;M
Garth-Greyfeather;JON;undirected;3;5;M
Gerold-Dayne;Myrcella-Baratheon;undirected;3;5;M
Gerrick-Kingsblood;JON;undirected;5;5;M
Gerrick-Kingsblood;Raymun-Redbeard;undirected;3;5;M
Gerris-Drinkwater;Hizdahr-zo-Loraq;undirected;4;5;M
Gerris-Drinkwater;Meris;undirected;4;5;M
Gerris-Drinkwater;Quentyn-Martell;undirected;49;5;M
Gerris-Drinkwater;Tattered-Prince;undirected;3;5;M
Gilly;JON;undirected;10;5;M
Gilly;Mance-Rayder;undirected;3;5;M
Gilly;Melisandre;undirected;4;5;M
Gilly;SAM;undirected;8;5;M
Godry-Farring;JON;undirected;3;5;M
Godry-Farring;Justin-Massey;undirected;3;5;M
